Hospital Name,Homepage URL,MRF Link,MRF File Type,Link Status,HTTP Code,Detected From,Notes
Acute Rehabilitation Hospital of Plano,https://medicalcityhealthcare.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,https://core.secure.ehc.com/src/util/detail-price-list/62-1682203_medical-city-plano_standardcharges.csv,csv,OK,200,url-extension,
Advanced Dallas Hospital and Clinics,https://dallasmedcenter.com/financial-assistance/,https://dallasmedcenter.com/wp-content/uploads/2022/08/271459658_DallasMedicalCenter_standardcharges.json,json,OK,200,url-extension,
AdventHealth Central Texas,https://www.adventhealth.com/pricelist,https://www.adventhealth.com/sites/default/files/CDM/2022/742575462_AdventHealthCentral%20Texas_standardcharges.json,json,OK,200,url-extension,
AdventHealth Rollins Brook,https://www.adventhealth.com/pricelist,https://www.adventhealth.com/sites/default/files/CDM/2022/742225672_AdventHealthRollinsBrook_standardcharges.json,json,OK,200,url-extension,
Allegiance Behavioral Health Center Of Plainview,,https://freedombehavioral.com/wp-content/uploads/2026/03/201871394_allegiance-behavioral-health-center-of-plainview_standardchargesupdated.csv,csv,OK,200,cms-hpt.txt,"Found via freedombehavioral.com/cms-hpt.txt (parent Allegiance/Freedom Behavioral). Filename matches exact facility: allegiance-behavioral-health-center-of-plainview, EIN 201871394, Plainview TX."
Altus Lumberton Hospital,https://altuslumbertonhospital.org/,https://altusemergency.com/wp-content/uploads/2026/03/460962386_altus-emergency-centers-lake-jackson_standardcharges.csv,csv,OK,200,url-extension,
Anson General Hospital,,https://app.box.com/shared/static/9jggxcjvd48n3luyn2hpyrroanlctj6y.csv,csv,OK,200,cms-hpt.txt@ansongeneralhospital.com,lenient matched 'Anson Hospital Disctrict'
Ascension Providence Hospital,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx-csv/741109636_ascension-providence_standardcharges.csv,csv,OK,200,cms-hpt.txt@healthcare.ascension.org,matched 'Ascension Providence'
Ascension Seton Bastrop Hospital,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx/741109643_ascension-seton-bastrop_standardcharges.xlsx,xlsx,NOT_FOUND,404,url-extension,cms-hpt.txt had 93 records; no name-verified match (closest unaccepted: Ascension Seton Medical Center Austin (A; tried-verify: none passed gate)
Ascension Seton Cedar Park Hospital,,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx-csv/203904667_cedar-park-regional-medical-center_standardcharges.csv,csv,OK,200,brand:healthcare.ascension.org,matched 'Ascension Seton Cedar Park Hospital'
Ascension Seton Edgar B. Davis,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx-csv/741109643-1356446686_ascension-seton_standardcharges.csv,csv,OK,200,cms-hpt.txt@healthcare.ascension.org,matched 'Ascension Seton Edgar B. Davis (Ascension Seton)'
Ascension Seton Hays,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx-csv/741109643-1619115383_ascension-seton_standardcharges.csv,csv,OK,200,cms-hpt.txt@healthcare.ascension.org,matched 'Ascension Seton Hays (Ascension Seton)'
Ascension Seton Highland Lakes,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx-csv/741109643-1003833013_ascension-seton_standardcharges.csv,csv,OK,200,cms-hpt.txt@healthcare.ascension.org,matched 'Ascension Seton Highland Lakes (Ascension Seton)'
Ascension Seton Medical Center Austin,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx-csv/741109643-1164526786_ascension-seton_standardcharges.csv,csv,OK,200,cms-hpt.txt@healthcare.ascension.org,matched 'Ascension Seton Medical Center Austin (Ascension Seton)'
Ascension Seton Northwest Hospital,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx-csv/741109643-1124137054_ascension-seton_standardcharges.csv,csv,OK,200,cms-hpt.txt@healthcare.ascension.org,matched 'Ascension Seton Northwest (Ascension Seton)'
